,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning Algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores,Feature Selection time,Fit time,Inference time per record
0,SRBCT,83,2308,RFE,LogisticsRegression,100,Leave One Out,83,PR-AUC,1.0,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.012610533151281885,0.0011324882507324219
0,SRBCT,83,2308,RFE,LogisticsRegression,100,Leave One Out,83,AUC,1.0,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.012610533151281885,0.0011324882507324219
0,SRBCT,83,2308,RFE,RandomForest,100,Leave One Out,83,ACC,0.9879518072289156,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.14925473282136112,0.000752535211034568
0,SRBCT,83,2308,RFE,RandomForest,100,Leave One Out,83,MCC,0.9835376206706422,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.14925473282136112,0.000752535211034568
0,SRBCT,83,2308,RFE,RandomForest,100,Leave One Out,83,PR-AUC,0.9986592110892445,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.14925473282136112,0.000752535211034568
0,SRBCT,83,2308,RFE,RandomForest,100,Leave One Out,83,AUC,0.9994157088122605,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.14925473282136112,0.000752535211034568
0,SRBCT,83,2308,RFE,K-NN,100,Leave One Out,83,ACC,1.0,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.0030116115707948983,0.002071343272565359
0,SRBCT,83,2308,RFE,K-NN,100,Leave One Out,83,MCC,1.0,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.0030116115707948983,0.002071343272565359
0,SRBCT,83,2308,RFE,K-NN,100,Leave One Out,83,PR-AUC,1.0,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.0030116115707948983,0.002071343272565359
0,SRBCT,83,2308,RFE,K-NN,100,Leave One Out,83,AUC,1.0,"gene1723,gene1626,gene836,gene2303,gene867,gene2159,gene326,gene976,gene229,gene819,gene951,gene1673,gene783,gene365,gene758,gene256,gene2168,gene1700,gene1536,gene2022,gene417,gene842,gene846,gene251,gene1738,gene1524,gene430,gene714,gene1263,gene442,gene188,gene1112,gene1770,gene1795,gene119,gene1105,gene108,gene1799,gene1608,gene1093,gene1327,gene1932,gene1924,gene165,gene2253,gene1497,gene1353,gene607,gene1896,gene1888,gene1884,gene1486,gene575,gene851,gene1,gene566,gene1319,gene1055,gene554,gene545,gene603,gene1911,gene509,gene107,gene1954,gene1955,gene123,gene1764,gene1980,gene129,gene1434,gene1003,gene2,gene742,gene1708,gene1158,gene380,gene368,gene2046,gene2050,gene1662,gene1655,gene338,gene335,gene1645,gene1194,gene1389,gene153,gene255,gene246,gene236,gene1613,gene1207,gene1606,gene2144,gene2146,gene1601,gene2162,gene187,gene174","21.613863962574612,25.301955034876787,25.57110617806735,23.70983788444584,27.451350777028168,29.481632645199586,25.555453382320778,26.62006342871307,23.089150580702444,24.741786623914034,29.558064321471416,29.326604296253027,26.676936148759438,28.598514820348925,23.719064496842766,25.024059148274834,23.096972716384776,28.143302666914863,25.430115828445203,26.623696263793438,26.342033530082038,31.454005083807427,24.165055998701305,31.342377664967547,24.546823152465624,24.867840342345175,24.768321541363232,27.43047003734214,22.615412395704134,25.806722494931744,28.299344020668574,28.898186154091082,25.34169947387241,24.205516668504394,22.426767837975834,27.889699135283173,26.188481886252646,25.359920472886117,22.214263458505815,24.940546367866364,27.95864193287232,27.15488912527953,24.1597416937425,28.00723265811182,23.553541728479846,23.81236337717298,22.018014037992398,25.550093549168658,27.829099732308453,25.73528525792083,30.879804031930686,26.39166042739448,24.208165942141886,24.342840687310005,31.625155546768074,48.59661843476637,58.25068007040576,41.85483649518702,60.24862218995309,58.42149601251957,33.29809801464984,32.57655755388222,59.51919472964844,41.22395780897253,56.8102192898092,85.62262144629337,31.692536240457482,43.31884487632658,40.25954552393429,68.45031295637676,42.74540666435049,98.09124822037444,33.919827267705564,60.679467174394965,44.618544002678334,39.86662778082464,34.71584716479301,37.99639601188834,64.9028983420496,61.394822853930535,39.62811156417851,33.41638189188397,40.88594695007202,33.79516371257025,59.62011916834998,53.210417160526546,88.79105609846003,55.48516100004525,40.54824235114089,75.55030937544309,32.23975624480727,42.3314398026041,35.97041012954758,32.393471956708765,31.985705350758078,37.64106469007595,43.39227496731935,35.47008852863285,66.11669544344593,46.550873910250296",0.01562190055847168,0.0030116115707948983,0.002071343272565359
